title,price_text,has_coupon,is_limited_time_deal,product_url
"Baseball Cap, Snapback Trucker Hat for Men & Women with American Flag and Adjustable, Breathable Mesh, Flat Bill Hats",,False,False,/sspa/click?ie=UTF8&spc=MTo1Njg2OTUwOTg5MDk3NDU5OjE3NTkyNzU4NTM6c3BfYXRmOjMwMDAxMzIzNzc0NDIwMjo6MDo6&url=%2FUALON-Baseball-Snapback-Adjustable-Breathable%2Fdp%2FB0C1N59ZQP%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3UD0HZDEGZ2PT%26dib%3DeyJ2IjoiMSJ9.rsRuWNAZIB5bJy_6apC1D6fViCnWRiArbSkeDUxcunNRpYfEX2q__cT3x02aZFhXWIjPAUUVfrLxdpUcTZNh-4bj9A7jW-CNxDjtRnLzIaK3U623ZVoeyq_65dpvZm51SWudK4FhdhwOYxZijWk0NGFE6FJ3LByZBfMExzE-Hv2Jv7Z_iVka4NBH5ElG7tXe_OEM84M5WyNsPNZ9jrWR6_Lj-LfvyIlDgth2lKRf6GuqlJquu8l601mCKr85IFgqZT1gqLj5dY90tqHvwKv7wL6ihdmwWBX-fg9aM3K-qiQ.62hhOMs03pOBJCAqa00pasq8FWHYmegpC4b8FWCUn7M%26dib_tag%3Dse%26keywords%3Dhats%26qid%3D1759275853%26sprefix%3Dha%252Caps%252C230%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Baseball Cap, American Flag Trucker Hat for Men Women, Breathable Adjustable Fit Outdoor Mesh Snapback Hats",,False,False,/sspa/click?ie=UTF8&spc=MTo1Njg2OTUwOTg5MDk3NDU5OjE3NTkyNzU4NTM6c3BfYXRmOjIwMDA1NjcwMjIyNTk5ODo6MDo6&url=%2FVIONLAN-Baseball-American-Embossed-Adjustable%2Fdp%2FB09W58K2L3%2Fref%3Dsr_1_2_sspa%3Fcrid%3D3UD0HZDEGZ2PT%26dib%3DeyJ2IjoiMSJ9.rsRuWNAZIB5bJy_6apC1D6fViCnWRiArbSkeDUxcunNRpYfEX2q__cT3x02aZFhXWIjPAUUVfrLxdpUcTZNh-4bj9A7jW-CNxDjtRnLzIaK3U623ZVoeyq_65dpvZm51SWudK4FhdhwOYxZijWk0NGFE6FJ3LByZBfMExzE-Hv2Jv7Z_iVka4NBH5ElG7tXe_OEM84M5WyNsPNZ9jrWR6_Lj-LfvyIlDgth2lKRf6GuqlJquu8l601mCKr85IFgqZT1gqLj5dY90tqHvwKv7wL6ihdmwWBX-fg9aM3K-qiQ.62hhOMs03pOBJCAqa00pasq8FWHYmegpC4b8FWCUn7M%26dib_tag%3Dse%26keywords%3Dhats%26qid%3D1759275853%26sprefix%3Dha%252Caps%252C230%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Outdoor UPF50+ Mesh Sun Hat Wide Brim Fishing Hat with Neck Flap Sun Hat for Men Women,$13.25 $ 13 . 25,False,True,/sspa/click?ie=UTF8&spc=MTo1Njg2OTUwOTg5MDk3NDU5OjE3NTkyNzU4NTM6c3BfYXRmOjIwMDAyOTkyOTY0NTc5ODo6MDo6&url=%2FHome-Prefer-Outback-Safari-Fishing%2Fdp%2FB07CPY32PW%2Fref%3Dsr_1_3_sspa%3Fcrid%3D3UD0HZDEGZ2PT%26dib%3DeyJ2IjoiMSJ9.rsRuWNAZIB5bJy_6apC1D6fViCnWRiArbSkeDUxcunNRpYfEX2q__cT3x02aZFhXWIjPAUUVfrLxdpUcTZNh-4bj9A7jW-CNxDjtRnLzIaK3U623ZVoeyq_65dpvZm51SWudK4FhdhwOYxZijWk0NGFE6FJ3LByZBfMExzE-Hv2Jv7Z_iVka4NBH5ElG7tXe_OEM84M5WyNsPNZ9jrWR6_Lj-LfvyIlDgth2lKRf6GuqlJquu8l601mCKr85IFgqZT1gqLj5dY90tqHvwKv7wL6ihdmwWBX-fg9aM3K-qiQ.62hhOMs03pOBJCAqa00pasq8FWHYmegpC4b8FWCUn7M%26dib_tag%3Dse%26keywords%3Dhats%26qid%3D1759275853%26sprefix%3Dha%252Caps%252C230%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Birthday Gifts for Him Her, Unique Ideal Gifts Cap for Men Women, Vintage Hat Baseball Cap",$19.99 $ 19 . 99,False,False,/sspa/click?ie=UTF8&spc=MTo1Njg2OTUwOTg5MDk3NDU5OjE3NTkyNzU4NTM6c3BfYXRmOjMwMDQ0NzM3ODE5NjcwMjo6MDo6&url=%2FRybicag-Birthday-Gifts-Women-Vintage%2Fdp%2FB0D7C4CRSW%2Fref%3Dsr_1_4_sspa%3Fcrid%3D3UD0HZDEGZ2PT%26dib%3DeyJ2IjoiMSJ9.rsRuWNAZIB5bJy_6apC1D6fViCnWRiArbSkeDUxcunNRpYfEX2q__cT3x02aZFhXWIjPAUUVfrLxdpUcTZNh-4bj9A7jW-CNxDjtRnLzIaK3U623ZVoeyq_65dpvZm51SWudK4FhdhwOYxZijWk0NGFE6FJ3LByZBfMExzE-Hv2Jv7Z_iVka4NBH5ElG7tXe_OEM84M5WyNsPNZ9jrWR6_Lj-LfvyIlDgth2lKRf6GuqlJquu8l601mCKr85IFgqZT1gqLj5dY90tqHvwKv7wL6ihdmwWBX-fg9aM3K-qiQ.62hhOMs03pOBJCAqa00pasq8FWHYmegpC4b8FWCUn7M%26dib_tag%3Dse%26keywords%3Dhats%26qid%3D1759275853%26sprefix%3Dha%252Caps%252C230%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Men's Athletic Baseball Fitted Cap,$12.47 $ 12 . 47,False,False,/Flexfit-Athletic-Baseball-Fitted-Black/dp/B073DTZ6KZ/ref=sr_1_5?crid=3UD0HZDEGZ2PT&dib=eyJ2IjoiMSJ9.rsRuWNAZIB5bJy_6apC1D6fViCnWRiArbSkeDUxcunNRpYfEX2q__cT3x02aZFhXWIjPAUUVfrLxdpUcTZNh-4bj9A7jW-CNxDjtRnLzIaK3U623ZVoeyq_65dpvZm51SWudK4FhdhwOYxZijWk0NGFE6FJ3LByZBfMExzE-Hv2Jv7Z_iVka4NBH5ElG7tXe_OEM84M5WyNsPNZ9jrWR6_Lj-LfvyIlDgth2lKRf6GuqlJquu8l601mCKr85IFgqZT1gqLj5dY90tqHvwKv7wL6ihdmwWBX-fg9aM3K-qiQ.62hhOMs03pOBJCAqa00pasq8FWHYmegpC4b8FWCUn7M&dib_tag=se&keywords=hats&qid=1759275853&sprefix=ha%2Caps%2C230&sr=8-5
"3 Pack Washed Plain Baseball Cap, Retro Adjustable Dad Hats Gift for Men/Women,Unstructured/Cotton",$11.59 $ 11 . 59,False,True,/MNXA-Baseball-Adjustable-Unstructured-Burgundy/dp/B08H59VBFQ/ref=sr_1_6?crid=3UD0HZDEGZ2PT&dib=eyJ2IjoiMSJ9.rsRuWNAZIB5bJy_6apC1D6fViCnWRiArbSkeDUxcunNRpYfEX2q__cT3x02aZFhXWIjPAUUVfrLxdpUcTZNh-4bj9A7jW-CNxDjtRnLzIaK3U623ZVoeyq_65dpvZm51SWudK4FhdhwOYxZijWk0NGFE6FJ3LByZBfMExzE-Hv2Jv7Z_iVka4NBH5ElG7tXe_OEM84M5WyNsPNZ9jrWR6_Lj-LfvyIlDgth2lKRf6GuqlJquu8l601mCKr85IFgqZT1gqLj5dY90tqHvwKv7wL6ihdmwWBX-fg9aM3K-qiQ.62hhOMs03pOBJCAqa00pasq8FWHYmegpC4b8FWCUn7M&dib_tag=se&keywords=hats&qid=1759275853&sprefix=ha%2Caps%2C230&sr=8-6
American Flag Embroidery Dad Hat - Soft Washed Cotton USA Army Tactical Operator Military for Men Women,$17.99 $ 17 . 99,False,False,/OUTDOOR-SHAPING-American-Flag-Embroidery/dp/B0FDQ738CM/ref=sr_1_7?crid=3UD0HZDEGZ2PT&dib=eyJ2IjoiMSJ9.rsRuWNAZIB5bJy_6apC1D6fViCnWRiArbSkeDUxcunNRpYfEX2q__cT3x02aZFhXWIjPAUUVfrLxdpUcTZNh-4bj9A7jW-CNxDjtRnLzIaK3U623ZVoeyq_65dpvZm51SWudK4FhdhwOYxZijWk0NGFE6FJ3LByZBfMExzE-Hv2Jv7Z_iVka4NBH5ElG7tXe_OEM84M5WyNsPNZ9jrWR6_Lj-LfvyIlDgth2lKRf6GuqlJquu8l601mCKr85IFgqZT1gqLj5dY90tqHvwKv7wL6ihdmwWBX-fg9aM3K-qiQ.62hhOMs03pOBJCAqa00pasq8FWHYmegpC4b8FWCUn7M&dib_tag=se&keywords=hats&qid=1759275853&sprefix=ha%2Caps%2C230&sr=8-7
Outdoor UPF50+ Mesh Sun Hat Wide Brim Fishing Hat with Neck Flap Sun Hat for Men Women,$13.25 $ 13 . 25,False,True,/sspa/click?ie=UTF8&spc=MTo2MTc5ODg0NjY3NTk2MDE5OjE3NTkyNzU4NTM6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDAyOTkyOTY0NTc5ODo6MDo6&url=%2FHome-Prefer-Outback-Safari-Fishing%2Fdp%2FB07CPY32PW%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.9359d6d7-ab2c-4962-841a-fb8fd109d2a3%253Aamzn1.sym.9359d6d7-ab2c-4962-841a-fb8fd109d2a3%26crid%3D3UD0HZDEGZ2PT%26cv_ct_cx%3Dhats%26keywords%3Dhats%26pd_rd_i%3DB07CPY32PW%26pd_rd_r%3De0e8bbe9-6c5f-41b0-9609-d41d2b6b0ac9%26pd_rd_w%3DDzONl%26pd_rd_wg%3D49qH2%26pf_rd_p%3D9359d6d7-ab2c-4962-841a-fb8fd109d2a3%26pf_rd_r%3D4PGPHAE6W0F4SWA31Z25%26qid%3D1759275853%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dha%252Caps%252C230%26sr%3D1-1-183302c6-8dec-4386-8e58-6031e7be5ad8-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=BhtdbpxlWg
"Awesome Like My Daughter Hat for Dad, Funny Hat for Dads from Daughter, Dad Birthday Gift Trucker Hat Cap (US, Alpha, One Size, Black)",$19.99 $ 19 . 99,False,False,/sspa/click?ie=UTF8&spc=MTo2MTc5ODg0NjY3NTk2MDE5OjE3NTkyNzU4NTM6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDY2NDIyOTc1MDEwMjo6MTo6&url=%2F68LDROOTER-Awesome-Daughter-Birthday-Trucker%2Fdp%2FB0DKC9Q141%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.9359d6d7-ab2c-4962-841a-fb8fd109d2a3%253Aamzn1.sym.9359d6d7-ab2c-4962-841a-fb8fd109d2a3%26crid%3D3UD0HZDEGZ2PT%26cv_ct_cx%3Dhats%26keywords%3Dhats%26pd_rd_i%3DB0DKC9Q141%26pd_rd_r%3De0e8bbe9-6c5f-41b0-9609-d41d2b6b0ac9%26pd_rd_w%3DDzONl%26pd_rd_wg%3D49qH2%26pf_rd_p%3D9359d6d7-ab2c-4962-841a-fb8fd109d2a3%26pf_rd_r%3D4PGPHAE6W0F4SWA31Z25%26qid%3D1759275853%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dha%252Caps%252C230%26sr%3D1-2-183302c6-8dec-4386-8e58-6031e7be5ad8-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=RelFISF1j1
Trucker Hat [ Great Outdoors Design ] for Men and Women: Mid Profile Cap with Breathable Mesh Back and Adjustable Snap,$29.99 $ 29 . 99,False,False,/sspa/click?ie=UTF8&spc=MTo2MTc5ODg0NjY3NTk2MDE5OjE3NTkyNzU4NTM6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDA4NzExNjczNTg5ODo6Mjo6&url=%2FLindo-Trucker-Hat-Outdoors-Collection%2Fdp%2FB06WV7411J%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.9359d6d7-ab2c-4962-841a-fb8fd109d2a3%253Aamzn1.sym.9359d6d7-ab2c-4962-841a-fb8fd109d2a3%26crid%3D3UD0HZDEGZ2PT%26cv_ct_cx%3Dhats%26keywords%3Dhats%26pd_rd_i%3DB06WV7411J%26pd_rd_r%3De0e8bbe9-6c5f-41b0-9609-d41d2b6b0ac9%26pd_rd_w%3DDzONl%26pd_rd_wg%3D49qH2%26pf_rd_p%3D9359d6d7-ab2c-4962-841a-fb8fd109d2a3%26pf_rd_r%3D4PGPHAE6W0F4SWA31Z25%26qid%3D1759275853%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dha%252Caps%252C230%26sr%3D1-3-183302c6-8dec-4386-8e58-6031e7be5ad8-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=irfE0fnlFN
Unisex Cadet Army Cap Adjustable Flat Top Cap Washed Cotton Military Hat Baseball Cap,$12.99 $ 12 . 99,False,False,/sspa/click?ie=UTF8&spc=MTo2MTc5ODg0NjY3NTk2MDE5OjE3NTkyNzU4NTM6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDA4MzA1MDkzMTc5ODo6Mzo6&url=%2FYeeHeen-Unisex-Adjustable-Military-Baseball%2Fdp%2FB0B52Y57MW%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.9359d6d7-ab2c-4962-841a-fb8fd109d2a3%253Aamzn1.sym.9359d6d7-ab2c-4962-841a-fb8fd109d2a3%26crid%3D3UD0HZDEGZ2PT%26cv_ct_cx%3Dhats%26keywords%3Dhats%26pd_rd_i%3DB0B52Y57MW%26pd_rd_r%3De0e8bbe9-6c5f-41b0-9609-d41d2b6b0ac9%26pd_rd_w%3DDzONl%26pd_rd_wg%3D49qH2%26pf_rd_p%3D9359d6d7-ab2c-4962-841a-fb8fd109d2a3%26pf_rd_r%3D4PGPHAE6W0F4SWA31Z25%26qid%3D1759275853%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dha%252Caps%252C230%26sr%3D1-4-183302c6-8dec-4386-8e58-6031e7be5ad8-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=5AXAeY6reV
"Sun Hat | UPF 50+ Sun Protection | Wide Brim | Lifeguard Hat | Beach, Gardening, Fishing, Hiking, Outdoors",$34.99 $ 34 . 99,False,False,/sspa/click?ie=UTF8&spc=MTo2MTc5ODg0NjY3NTk2MDE5OjE3NTkyNzU4NTM6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDM2NzU5MTYzODUwMjo6NDo6&url=%2FFARMERS-DEFENSE-Protection-Lifeguard-Lightweight%2Fdp%2FB0CCZVW36D%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.9359d6d7-ab2c-4962-841a-fb8fd109d2a3%253Aamzn1.sym.9359d6d7-ab2c-4962-841a-fb8fd109d2a3%26crid%3D3UD0HZDEGZ2PT%26cv_ct_cx%3Dhats%26keywords%3Dhats%26pd_rd_i%3DB0CCZVW36D%26pd_rd_r%3De0e8bbe9-6c5f-41b0-9609-d41d2b6b0ac9%26pd_rd_w%3DDzONl%26pd_rd_wg%3D49qH2%26pf_rd_p%3D9359d6d7-ab2c-4962-841a-fb8fd109d2a3%26pf_rd_r%3D4PGPHAE6W0F4SWA31Z25%26qid%3D1759275853%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dha%252Caps%252C230%26sr%3D1-5-183302c6-8dec-4386-8e58-6031e7be5ad8-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=yWhn6dLhN8
Men's Golf Cap,$26.71 $ 26 . 71,False,False,/Nike-Golf-Dri-Fit-Swoosh-Front/dp/B00CBMSNW2/ref=sr_1_8?crid=3UD0HZDEGZ2PT&dib=eyJ2IjoiMSJ9.rsRuWNAZIB5bJy_6apC1D6fViCnWRiArbSkeDUxcunNRpYfEX2q__cT3x02aZFhXWIjPAUUVfrLxdpUcTZNh-4bj9A7jW-CNxDjtRnLzIaK3U623ZVoeyq_65dpvZm51SWudK4FhdhwOYxZijWk0NGFE6FJ3LByZBfMExzE-Hv2Jv7Z_iVka4NBH5ElG7tXe_OEM84M5WyNsPNZ9jrWR6_Lj-LfvyIlDgth2lKRf6GuqlJquu8l601mCKr85IFgqZT1gqLj5dY90tqHvwKv7wL6ihdmwWBX-fg9aM3K-qiQ.62hhOMs03pOBJCAqa00pasq8FWHYmegpC4b8FWCUn7M&dib_tag=se&keywords=hats&qid=1759275853&sprefix=ha%2Caps%2C230&sr=8-8
47 Atlanta Braves Ballpark Clean Up Dad Hat Baseball Cap,$34.00 $ 34 . 00,False,False,/47-York-Yankees-Clean-Baseball/dp/B0754CB1W7/ref=sr_1_9?crid=3UD0HZDEGZ2PT&dib=eyJ2IjoiMSJ9.rsRuWNAZIB5bJy_6apC1D6fViCnWRiArbSkeDUxcunNRpYfEX2q__cT3x02aZFhXWIjPAUUVfrLxdpUcTZNh-4bj9A7jW-CNxDjtRnLzIaK3U623ZVoeyq_65dpvZm51SWudK4FhdhwOYxZijWk0NGFE6FJ3LByZBfMExzE-Hv2Jv7Z_iVka4NBH5ElG7tXe_OEM84M5WyNsPNZ9jrWR6_Lj-LfvyIlDgth2lKRf6GuqlJquu8l601mCKr85IFgqZT1gqLj5dY90tqHvwKv7wL6ihdmwWBX-fg9aM3K-qiQ.62hhOMs03pOBJCAqa00pasq8FWHYmegpC4b8FWCUn7M&dib_tag=se&keywords=hats&qid=1759275853&sprefix=ha%2Caps%2C230&sr=8-9
Authentic Fishing & Hunting Mesh Back Trucker Hat - The Ultimate Accessory for Outdoor Activies,$16.24 $ 16 . 24,False,False,/Authentic-Fishing-Hunting-Mesh-Trucker/dp/B0DND75M7M/ref=sr_1_10?crid=3UD0HZDEGZ2PT&dib=eyJ2IjoiMSJ9.rsRuWNAZIB5bJy_6apC1D6fViCnWRiArbSkeDUxcunNRpYfEX2q__cT3x02aZFhXWIjPAUUVfrLxdpUcTZNh-4bj9A7jW-CNxDjtRnLzIaK3U623ZVoeyq_65dpvZm51SWudK4FhdhwOYxZijWk0NGFE6FJ3LByZBfMExzE-Hv2Jv7Z_iVka4NBH5ElG7tXe_OEM84M5WyNsPNZ9jrWR6_Lj-LfvyIlDgth2lKRf6GuqlJquu8l601mCKr85IFgqZT1gqLj5dY90tqHvwKv7wL6ihdmwWBX-fg9aM3K-qiQ.62hhOMs03pOBJCAqa00pasq8FWHYmegpC4b8FWCUn7M&dib_tag=se&keywords=hats&qid=1759275853&sprefix=ha%2Caps%2C230&sr=8-10
